Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
Soleil De Minuit (Midnight Sun),,50/50 H,β-Caryophyllene,β-Myrcene,Linalool,α-Humulene,,,"Stress, Anxiety, Mild pain, Lack of focus, Yearning for a mystical journey","Embark on a journey under the (Midnight Sun) Soleil De Minuit, a mesmerizing creation blending Gelato 33, OX, and Bye Ya. Surrender to the enchanting effects of this hybrid, where the balance of euphoria and relaxation unfolds like a sun that never sets. Soleil De Minuit delights the senses with a symphony of flavors, combining the sweet richness of Gelato 33, the earthy depth of OX, and the unique qualities of Bye Ya, creating an experience that's as captivating as the fleeting glow of the midnight sun.","Enchanting and Balanced, Euphoric sensations, Relaxing body high, Stress relief, Creative stimulation","Sweet, Earthy, Unique Undertones","Rich, Earthy, Sweet finish",Gelato 33 x OX x Bye Ya
Soleil Levant,Natural State Medicinals,,Limonene,β-Myrcene,Linalool,β-Pinene,β-Caryophyllene,https://bit.ly/4h1VfjY,,,,,,
Soleil Levant (Rising Sun),,50/50 H,β-Myrcene,β-Caryophyllene,Pinene,,,,"Soleil Levant (Rising Sun) may assist in alleviating symptoms of stress, pain, and depression, offering both mental and physical relief.","Exclusive to Arkansas from NSM, Soleil Levant is an exquisite hybrid crafted by a renowned French grower, bringing a unique and refined experience to discerning cannabis enthusiasts. This strain masterfully balances uplifting euphoria with soothing relaxation, featuring dense, frosty buds that emit a refreshing aroma of citrus and pine. With each inhale, enjoy a flavorful fusion of sweet citrus layered with earthy pine undertones, delivering a satisfying and smooth profile. Soleil Levant is perfect for those seeking relief from stress and anxiety, promising a tranquil yet invigorating journey. Don't miss out on this Arkansas-exclusive gem from NSM—crafted to elevate your cannabis experience.","An uplifting cerebral high accompanied by a relaxing body buzz, making it suitable for both daytime and evening use.","Strain offers a complex aroma profile, combining sweet citrus notes with earthy undertones and a hint of pine, creating an enticing scent.","Soleil Levant delivers a harmonious blend of sweet citrus and earthy pine, complemented by subtle diesel undertones, providing a rich and satisfying taste experience.",Muffins (OG Kush x Muffin) x (Gelato 33 x Ox)
Sooie Diesel,Osage Creek,70-30,Linalool,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,https://sh-ar.qbench.net/pr/416a051aa272c28,"Daytime Use, Social Gathering, Creative Activities","The effects of Sooie Diesel are potent and immediate, hitting behind the eyes and providing a solid cerebral high.Consumers may experience a rush of energy and euphoria, making it suitable for daytime use.","Focused, Happy, Energized","Floral, Spice, Citrus",,
Sourdough,River Valley Relief,,β-Caryophyllene,Limonene,α-Humulene,β-Pinene,Linalool,https://rvr.care/SSDCF,,,,,,
Sour Berry Blue,Bold,Sativa Leaning Hybrid,β-Caryophyllene,Limonene,Linalool,,,,,"One of the tartest and tangiest strains in existence, Sour Berry Blue has quickly become a rare delicacy sought out by fine cannabis connoisseurs everywhere. A cross of the High Times award-winning strain Alpha Blue paired with a carefully selected Sour Strawberry BX3 male from B.O.G. Seeds, this sativa-leaning hybrid has been bred for flavor and vigorous growth. If candy-like terpene profiles are your thing, this strain is for you.",,,,
Sour Diesel,Bold,Sativa Hybrid,β-Caryophyllene,β-Myrcene,Limonene,,,,,Sour Diesel is a classic sativa known for its pungent aroma and energy inducing effects. Legend has it that this genetic was developed in the 1990’s based on mexican sativa seedstock that made its way up the east coast to New England. BOLD has sourced a well known example of the genetic and has begun dialing in the strain to Arkansas’ unique climate.,,,,
Sour Papaya,River Valley Relief,,β-Myrcene,β-Caryophyllene,α-Humulene,Linalool,cis-β-Ocimene,https://rivervalleyrelief.com/flower/sour-papaya/,,,,,,
Sour Tangie,Natural State Medicinals,,β-Myrcene,β-Caryophyllene,Limonene,Linalool,α-Humulene,https://bit.ly/4aiBeUs,,,,,,
Sour Tangie,,80/20 S,β-Caryophyllene,Limonene,β-Myrcene,,,,"Enhanced energy, Nausea relief, Pain relief, Stress relief","Sour Tangie is a hybrid strain that offers a burst of citrusy flavor and an energetic high. It has a sweet and sour aroma with hints of orange and tangerine, and the flavor is just as delicious. This strain is perfect for those who want to get up and go, as it can help increase focus and motivation. It's also a great choice for socializing and creative pursuits. Give Sour Tangie a try and see how it can brighten up your day!","Uplifted, Energetic, Happy, Creative, Focused","Citrusy, Tangy, Skunky, Diesel","Citrus; Sandalwood; Orange peel, Diesel aroma",East Coast Sour Diesel x Tangie
SOUTHERN SKUNK,Leafology,Hybrid,Limonene,Pinene,β-Myrcene,,,,"Insomnia, Muscle Tension, Mood Enhancement",,"Relaxation, Euphoric, Sedative, Creativity","Pine, Earthy, Sweet, Citrus, Diesel",,
Space Cake Remix,Osage Creek,,β-Myrcene,α-Pinene,Limonene,β-Pinene,cis-β-Ocimene,https://sh-ar.qbench.net/pr/38b1a66ab2824e5,,,,,,
Strawberry Banana,Osage Creek,,β-Caryophyllene,Limonene,β-Myrcene,α-Humulene,Linalool,https://sh-ar.qbench.net/pr/af2ea5b9c3de5fc,,,,,,
Strawberry Cheesecake,,50/50 H,β-Myrcene,β-Caryophyllene,Limonene,,,,"This strain may assist in alleviating symptoms of stress, pain, and depression, offering both mental and physical relief.","Experience the exceptional Strawberry Cheesecake, a hybrid strain that masterfully balances euphoria and relaxation. Its dense, frosty buds exude a captivating berry and cheese aroma, while the flavor delights with a fusion of sweet berries and creamy cheese. Ideal for those seeking a versatile experience, Strawberry Cheesecake offers potential relief from stress and anxiety, making it a must-try for cannabis connoisseurs.","Users can anticipate an uplifting cerebral high accompanied by a relaxing body buzz, making it suitable for both daytime and evening use.","Offers a complex aroma profile, combining sweet berry notes with earthy undertones and a hint of cheese, creating an enticing scent.","A harmonious blend of sweet berries and creamy cheese, complemented by subtle earthy undertones, providing a rich and satisfying taste experience.",Forum GSC x Purple Panty Dropper
Strawberry Cough,,85/15 S,β-Myrcene,β-Caryophyllene,Terpinolene,,,,Anxiety relief; Appetite stimulation; Pain relief,"If you're looking for a sweet and tasty strain, then Strawberry Cough might be the one for you! It has a delicious strawberry scent that will make your mouth water. This strain is known for its uplifting and energizing effects, which make it great for daytime use. If you need a little boost to get through your day, give Strawberry Cough a try!","Euphoria, Uplifted, Happy, Energetic, Creative","Sweet, Strawberry, Earthy, Berry","Soft strawberry; Ripened, skunky musk.",Haze x Strawberry Fields
Strawberry Guava,Bold,Indica Dominant Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,"2nd Place Winner of Chalice’s 2017 hash competition for Best Non-Solvent and 1st Place winner for Highest Terpenes in a nonsolvent. This Terpene rich goddess is made up of Oni Seeds’ 14er Selection of Strawberry banana (Crockett) and Papaya. The Papaya has an excellent terpene profile from mangos, papayas and melons with a heavy funky/rotting fruit to an almost super sweet candy spearmint finish with its Afghani father, vigorous growth, great yield and a quick finish (8-9 weeks).",,,,
Strawberry Shortcake,Bold,Indica,β-Caryophyllene,β-Myrcene,α-Humulene,,,,,Strawberry Shortcake an Indica strain that lives up to its name. The aroma and taste while partaking is described as extremely sweet. This strain is perfect for nighttime use when you have nothing else to do.,,,,
Stardawg F2,Bold,Indica Hybrid,β-Myrcene,α-Pinene,Limonene,,,,,This F2 selection is a mix of all the best things about Stardawg. Bred by GreenPoint Seeds of Colorado. This cultivar is one of BOLD’s newest fromseed projects. We expect some really interesting results from this genetic in the coming months. Expect a VERY different terpene profile than you are used to with Stardawg.,,,,
Stargazer,Bold,Indica Dominant Hybrid,Terpinolene,β-Myrcene,Limonene,,,,,While medicating with Stargazer you will taste the flavor lemony pine and earthy diesel mixed with the smell of fresh cracked pepper from the terpene Beta Caryophyllene. This selected phenotype of StarDawg F2 is new to BOLD and offers a unique into the inner workings of the Stardawg lineage.,,,,
Sticky Glue,,50/50 H,β-Caryophyllene,Limonene,α-Humulene,α-Bisabolol,,,"Creative inspiration, Stress, Anxiety, Mild to moderate pain, Relaxation,","Explore the tranquil depths of Sticky Glue, a seamless hybrid blending GG4 and Platinum Gorilla. Allow the serene and calming effects to envelop you, striking a delicate equilibrium between body and mind. Delight in the enticing fragrance of earthiness and citrus, with floral undertones that make Sticky Glue an ideal selection for those in pursuit of a mellow and soothing cannabis encounter.","Soothing and Relaxing, Mild mood enhancement, Balanced body and mind effects, Stress relief, Gentle euphoria","Earthy, Citrusy, Floral undertones"," Earthy, Subtle Citrus notes",GG4 x Platinum Gorilla
Sumo Grande,Bold,Sativa Hybrid,Terpinolene,Cis-β-Ocimene,β-Myrcene,,,,,"With Sumo Grande being a (90/20) Sativa hybrid, you will not feel many of the Indica effects because the heavy Sativa will take over. These effects will take you on an uplifted high that will leave you feeling creative, tingly, and ready for a snack.",,,,
SunMac,RVR,Hybrid,β-Caryophyllene,Limonene,α-Humulene,Linalool,Pinene,https://rvr.care/SMCCF,Stress and depression,"SunMac is a hybrid strain that is known to assist patients in feeling focused, uplifted, and relaxed. A cross of Sunset Sherbet and Miracle Alien Cookies.","Focused, Uplifted, Relaxed, Energy, And Carefree State of Mind","Floral, Sweet, Earthy",,
SUNRISE DIESEL,Leafology,Sativa,Limonene,Pinene,β-Caryophyllene,,,,"Boosting productivity, Mood Enhancement, Anxiety",,"Energizing, Euphoric, Creative, Sociable","Citrus Zest, Diesel Fuel, Earthy Pine, Tropical",,
Super Lemon Haze,Bold,Sativa,Terpinolene,Cis-β-Ocimene,β-Myrcene,,,,,"After taking home the High Times Cannabis Cup 1st place in 2008 and 2009, Super Lemon Haze became a celebrity in the industry. Being Super Silver Haze’s sister, the strain is also known for its citrus smell, energetic feelings and refreshing flavors. Classic Lemon Haze flavors for the most discerning patient.",,,,
Super Lemon Haze,,80/20 S,Terpinolene,β-Caryophyllene,β-Myrcene,,,,Appetite stimulation; Pain relief; Sleep; Stress relief,"Super Lemon Haze is a citrusy strain that smells just like fresh lemons. It has a zesty and refreshing aroma that's sure to perk you up. This strain is perfect for those who need a little extra energy and focus. It's also great for boosting your mood and helping you feel more positive. If you're looking for a strain that will brighten up your day, Super Lemon Haze is definitely worth a try!","Uplifted, Energetic, Happy, Creative, Focused","Citrusy, Lemon, Hazy, Herbal",Tart notes of lemon; Sweet notes of candy,Lemon Skunk x Super Silver Haze
The Sweet Spot,Osage Creek,30-70,β-Caryophyllene,β-Myrcene,Limonene,α-Humulene,Linalool,https://sh-ar.qbench.net/pr/8df0a52a18f8db5,"Stress Relief, Mood Enhancement, Pain Management","This strain delivers deeply relaxing effects, making it perfect for unwinding after a long day. Its soothing nature and flavorful profile make The Sweet Spot a delightful choice for those seeking calm and tranquility.","Uplifted, Comfort, Relaxed","Spice, Earthy, Citrus",,
Tahoe OG,,50/50 H,β-Myrcene,Terpinolene,β-Caryophyllene,,,,Appetite loss; Chronic fatigue; Depression; Chronic stress & anxiety,"Take a trip to relaxation town with Tahoe OG! This strain is like a cozy blanket that wraps you up in pure bliss. Its earthy and refreshing aroma will transport you to a peaceful forest, where you can let go of all your worries. Tahoe OG brings a gentle calmness to both body and mind, making it the ideal companion for winding down after a long day. Get ready to sink into a state of deep relaxation with Tahoe OG.","Relaxation, Euphoria, Happiness, Sleepiness, Uplifted","Earthy, Piney, Citrusy, Woody",Lemon; earthy aroma with spicy pungency.,OG Kush Strains Blend (Natural State Strains)
Tahoe Og Kush,Natural State Medicinals,,Terpinolene,β-Myrcene,β-Caryophyllene,cis-β-Ocimene,Limonene,https://bit.ly/40Gwdlz,,,,,,
Triple Scoop,,30/70 H,β-Myrcene,Terpinolene,β-Caryophyllene,,,,Appetite loss; Chronic fatigue; Depression; Chronic stress & anxiety,"Triple Scoop is a blend of three amazing varieties: Super Silver Haze, Grape LA, and Sorbet. Picture this: a sunny day, hanging out in a fruity orchard. That's the vibe Triple Scoop brings! You'll feel happy and lifted, thanks to the Super Silver Haze. Plus, there's a sweet touch of Grape LA and a smooth twist of Sorbet that'll make your taste buds dance. Whether you're chilling or having fun with friends, Triple Scoop is the way to go. Grab some and enjoy good times ahead! ",This strain starts with a numbing uplifting head high that's smooth and euphoric with a sense of clarity and alertness.,"This strain has small, lumpy popcorn shaped musty green nugs with dark amber hairs, amber trichomes, and a sticky resin.

","Sweet, Fruity, Citrus",Super Silver Haze x Grape LA x Sorbet
Tropic Mints (June '23),,50/50 H,β-Myrcene,β-Caryophyllene,Limonene,,,,"Stress , aches and pain","Introducing Tropic Mints, the strain that's like a tropical vacation in a bud! Get ready to embark on a journey of fruity flavors and uplifting effects that'll transport you to a sun-soaked paradise. With its delightful blend of tropical fruits, refreshing mint, and citrusy zing, Tropic Mints tantalizes your taste buds and invigorates your senses. This strain offers potential benefits such as potential relaxation, stress relief, and a potential burst of creativity, making it perfect for unwinding after a long day or unleashing your inner artist. So kick off your shoes, imagine the warm sand between your toes, and let Tropic Mints whisk you away to a cannabis adventure that's pure vacation vibes. ","Happiness, uplifted but relaxed","Floral, Sweet, Spicy","Tropical fruits, citrus zing, and a refreshing hint of mint",TANGIE X BOOGER COOKIES)
Tropical Runtz,Natural State Medicinals,,β-Caryophyllene,Limonene,α-Humulene,β-Myrcene,Linalool,https://bit.ly/3WUiQf6,,,,,,
Tropic Runtz,,50/50 H,Limonene,β-Caryophyllene,α-Humulene,Linalool,,,"Stress, Anxiety, Mild to moderate pain, Relaxation, Creative stimulation","Take  a vibrant journey with Tropic Runtz, a delightful hybrid born from the fusion of Tropic Truffle and Runtz. Feel the uplifting and energetic effects embrace you, bringing a harmonious balance to both body and mind. Tropic Runtz captivates with a sweet and citrusy aroma, adorned with subtle floral notes, making it a perfect choice for those seeking a lively and creatively inspiring cannabis experience.","Uplifting and Energetic, Relaxing body sensations, Mild mood enhancement, Stress relief, Creative inspiration","Citrusy, Sweet, Floral undertones","Sweet, Citrusy, Subtle Floral notes",Tropic Truffle x Runtz
TRUFFLE MONKEY,Leafology,Sativa,β-Caryophyllene,Limonene,α-Humulene,,,,"Stress, Chronic Pain, Appetite Stimulation, Social Settings",,"Euphoric, Relaxing, Creative, Balanced","Tropical Citrus, Sweet, Nutty, Earthy",,
Toasted Toffee,Osage Creek,40-60,β-Caryophyllene,α-Humulene,Limonene,α-Pinene,β-Pinene,https://sh-ar.qbench.net/pr/f2155cb4697e340,"Stress Relief, Social Gatheings, Creative Activities","Toasted Toffee is versatile and can be enjoyed during different times of the day. Known for its relaxing and chilling effects, it’ s perfect for unwinding after a long day or sparking creativity.","Uplifted, Balanced, Happy","Spice, Woody, Citrus",,
Twin Mints,GDF,Sativa,Limonene,β-Caryophyllene,Linalool,α-Humulene,β-Pinene,https://qr.lcdg.io/LxRc8ZJ677WEquJt76M9,,,"Happiness, Unwind, Energized, Blissful","Juice Oranges, Pine, Spice",,
Twizzle Dance,,50/50 H,Limonene,β-Caryophyllene,cis-β-Ocimene,α-Bisabolol,,,"Stress relief, Creative stimulation, Gentle relaxation, Balanced experience","Experience the rhythmic allure of Twizzle Dance, a hybrid masterpiece born from the union of Jigglers and Scotty 2 Hotty. Engage in the dance of effects, where uplifting euphoria partners with gentle relaxation, creating a harmonious balance for both body and mind. Let the aroma and flavor twirl around your senses, revealing a delightful blend that makes Twizzle Dance an enchanting choice for those seeking a lively and creatively inspired cannabis experience.","Lively, Uplifting, Soothing, Harmonious, Subtle, Creative, Relaxing","Citrusy, Earthy, Sweet","Zesty, Citrus burst, Earthy richness, Delicate floral essence, Subtle sweetness",Jigglers x Scotty 2 Hotty
UNCLE JPZ,Leafology,Hybrid,β-Myrcene,β-Caryophyllene,Limonene,,,,"Euphoric, Relaxing, Creative, Balanced",,"Euphoric, Relaxing, Creative, Balanced","Citrus Tangerine, Earthy Diesel, Sweet ",,
UNITY,Leafology,Hybrid,Terpinolene,Cis-β-Ocimene,β-Caryophyllene,,,,"Stress, Pain, Depression, Creativity, Social Settings",,"Euphoric, Relaxing, Focused, Balanced","Raspberry, Flower, Herbal, Earthy",,
VINTAGE 2006,Leafology,Sativa,β-Myrcene,β-Caryophyllene,Pinene,,,,"Stress, Anxiety, Chronic Pain, Depression",,"Euphoric, Relaxing, Creative, Energetic","Earthy, Woody, Spicy, Herbal, Citrusy",,
White 99,Bold,Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,,White 99 is a hybrid genetic originating in Florida and has quickly spread throughout the cannabis world. Crossing Cinderella 99 with the sought-after The White by Krome. This genetic boasts a tight bud structure and can exhibit beautiful coloration late in flower with a proper flush. A very sativa forward head high gives way to relaxed muscles and is great for both daytime and night.,,,,
White Runtz,GDF,,β-Caryophyllene,Limonene,Linalool,α-Humulene,β-Pinene,https://qr.lcdg.io/aiVQmXtiGQieB7sS2XE6,,,,,,
WHITE RUNTZ,Leafology,Hybrid,Limonene,β-Myrcene,β-Caryophyllene,,,,"Stress, Anxiety, Chronic Pain, Insomnia, Social Settings",,"Euphoric, Relaxing, Tingly, Sedative","Fruity Candy, Creamy Vanilla, Earthy",,
White Tahoe Cookies,Carpenter Farms,,Limonene,β-Myrcene,β-Pinene,cis-β-Ocimene,α-Humulene,https://drive.google.com/file/d/1XW5W6wu1iXYXobifXShKOzl5sTrmP_8v/view?usp=drive_link,,,,,,
White Wedding,,80/20 I,β-Myrcene,Limonene,β-Caryophyllene,α-Humulene,,,"Stress, Anxiety, Pain relief, Insomnia","Step into a world of elegance and serenity with White Wedding! This strain is like a sophisticated affair, where relaxation takes center stage. Its aroma is a delicate blend of floral and herbal notes, creating an atmosphere of tranquility. White Wedding RBX brings a sense of calm and balance, making it the perfect choice for unwinding and finding your inner peace. So put on your finest attire, take a puff, and let White Wedding RBX be your invitation to a blissful state of mind.","Euphoria, Focus, Uplifted, Energetic, Happy","Floral, Sweet, Earthy, Herbal","Sour gasoline, incense and pine, cherries and mandarins",Wedding Cake x Mandarin Cookies x Crescendo
White Widow,Natural State Medicinals,,Terpinolene,cis-β-Ocimene,β-Myrcene,Limonene,β-Caryophyllene,https://drive.google.com/file/d/1Ia5wuE4mFQRsHlZDF6yVv-zOun-pw93i/view,,,,,,
White Widow,,60/40 S,Terpinolene,β-Myrcene,,,,,Enhanced energy; Pain relief; Stress relief,"White Widow is a classic strain that's been around for a long time. It has a mild aroma and a balanced effect that's both uplifting and relaxing. This strain is perfect for those who want a gentle buzz without feeling too out of it. It's also great for relieving stress and anxiety. If you're new to smoking and want to try something mild, White Widow is a good place to start.","Euphoria, Relaxation, Happiness, Uplifted, Creativity","Earthy, Woody, Pungent, Floral","Earthy, Woody, Spicy, Herbal",Brazilian Sativa x South Indian Indica
Wolverine,Bold,Hybrid,β-Caryophyllene,Limonene,α-Humulene,,,,,"Bred by 3rd Coast Genetics out of Michigan; Wolverine is a hybrid cross between Animal Cookies and Third Coast’s main male, Pure Michigan. This gassy variety provides long-lasting relief for patients treating symptoms throughout the day, but high doses can induce an early night’s sleep.",,,,
XXX,Leafology,Indica,Limonene,β-Caryophyllene,β-Myrcene,,,,"Stress, Pain, Depression, Appetite Stimulation",,"Euphoric, Relaxing, Tingly, Sedative","Berry, Sweet, Creamy, Earthy, Herbal",,
Yahmba,,Hybrid,Limonene,β-Caryophyllene,β-Myrcene,Pinene,,,"Stress and anxiety, pain relief, depresion, lack of appetite","Yahmba is a beautiful fusion of The White and Rozay parent strains. Experience a euphoric cerebral buzz coupled with a soothing body relaxation, perfect for unwinding after a long day. Delight your senses with its citrusy and earthy taste, followed by a refreshing herbal aroma. Yahmba is your go-to choice for stress relief, pain management, and creative inspiration.","Relaxing and euphoric , Uplifting cerebral buzz, Body relaxation without sedation, Creative inspiration","Pine, Herbal, Sweet","Citrusy, earthy, Spicy",The White x Rozay
Zapples,Osage Creek,40-60,Terpinolene,β-Myrcene,Limonene,Linalool,α-Humulene,https://sh-ar.qbench.net/pr/912f2f8fbfaa49d,"Daytime Use, Creative Activities, Mild Social Gatherings","Zapples delivers a balanced high, suitable for both mental stimulation and physical relaxation. Users may experience an initial cerebral buzz, leading to creativity and uplifted mood, followed by a soothing, calming effect that doesn't overpower. Suitable for both novice and experienced consumers who appreciate a strain with a complex flavor profile and balanced effects.","Uplifted, Balanced, Relaxed","Earthy, Herbal, Citrus",,

Zookies,Carpenter Farms,,β-Caryophyllene,β-Myrcene,α-Humulene,cis-β-Ocimene,Limonene,https://drive.google.com/file/d/130Jrh5OzqUfxtI5Rqlj4UfmBoa0NxVb_/view,,,,,,


